gps_seconds[s]	panorama_file_name	latitude[deg]	longitude[deg]	altitude_ellipsoidal[m]	roll[deg]	pitch[deg]	heading[deg]
1333877952.002	pano_0000_000000	37.0273175520308	22.08959195551	30.1541528953239	-2.43770868830939	-0.984429744228257	285.627578424761
1333877952.055	pano_0000_000001	37.0273165908554	22.0895960504979	30.1498363437131	-2.52827887477809	-1.19789654298943	285.694208372618
1333877952.609	pano_0000_000002	37.0273064383444	22.0896390661756	30.1938243238255	-2.74970711624773	-0.930191372403024	286.121953723526
1333877953.175	pano_0000_000003	37.0272962660583	22.0896822586849	30.2170394202694	-2.46788387313837	-0.675415022631297	286.251280160138
1333877953.754	pano_0000_000004	37.027286075142	22.0897253577957	30.2265128139406	-2.2433770489726	-0.720662831349478	286.178437110753
1333877954.35	pano_0000_000005	37.0272757798575	22.0897685002458	30.2427185522392	-2.62835902591773	-0.866607983231818	285.839812083566
1333877954.964	pano_0000_000006	37.0272657306017	22.0898117603949	30.2732772268355	-2.91772733676021	-1.00129581742455	285.317953227462
1333877955.599	pano_0000_000007	37.0272562424335	22.0898553827298	30.3047435795888	-2.56031556153133	-0.863590837692661	284.666581184031
1333877956.28	pano_0000_000008	37.0272473568006	22.0898988955098	30.3391202995554	-1.95201410022239	-1.00519730860541	283.877778235018
1333877957.036	pano_0000_000009	37.0272388294204	22.0899425714594	30.3842560146004	-1.74479950451017	-1.45387452157258	282.96223913558
1333877957.844	pano_0000_000010	37.0272308375912	22.0899863164993	30.4508739318699	-1.62296177119118	-1.54054342671884	281.998031760478
1333877958.684	pano_0000_000011	37.0272236899895	22.090030334136	30.5090461736545	-1.16620638676173	-1.97546531140435	280.607559259201
1333877959.52	pano_0000_000012	37.027217133259	22.0900749603665	30.6048543164507	-0.372664256908489	-1.47589876016127	280.687042248482
1333877960.335	pano_0000_000013	37.0272101757936	22.0901189778918	30.6730284746736	0.170559254133424	-1.69864028746546	281.732788087264
1333877961.11	pano_0000_000014	37.027202373153	22.0901629245213	30.7533008437604	0.0192376540225574	-1.65533624498214	282.400088186561
